"geoid","pop","jobs","lat","lon"
"484391216053","1045","1018","32.745558","-97.12766"
"481130189003","1759","3","32.920744","-96.652058"
"484391135111","1282","2887","32.820477","-97.128787"
"481210201333","2642","124","33.199747","-96.886792"
"484391115444","1763","27","32.640058","-97.126155"
"484391110222","2714","80","32.562345","-97.375597"
"481210203053","1838","64","33.030996","-97.138307"
"484391139181","2522","337","32.867115","-97.28728"
"481130116041","1394","149","32.681811","-96.64892"
"481130198002","1413","343","32.823723","-96.812909"
"481130190314","2384","270","32.966531","-96.677845"
"481130178062","880","632","32.797337","-96.654913"
"483671404102","2145","43","32.923173","-97.738309"
"482511303041","1958","331","32.406149","-97.362265"
"484391115532","1557","611","32.680114","-97.142625"
"484391038002","1826","48","32.723867","-97.307107"
"481130192162","1231","172","32.966353","-96.752147"
"481130019021","1283","618","32.788503","-96.807945"
"480850305341","1918","938","33.179898","-96.694022"
"484391111041","1413","140","32.667575","-97.276441"
"481210213012","1885","435","33.19945","-97.13256"
"484391142073","2230","372","32.789401","-97.523485"
"481210215322","2584","1059","33.089387","-96.859913"
"481390607021","2859","1636","32.479929","-96.964398"
"484391115551","1514","52","32.655572","-97.055752"
"481130136051","1760","536","32.973273","-96.773564"
"481130121011","1927","27","32.765015","-96.650538"
"481210201301","1755","1167","33.181624","-96.959264"
"481130117011","2387","74","32.714318","-96.655832"
"480850306073","1530","1481","33.177827","-96.648714"
"481210216353","2043","240","32.999276","-96.851019"
"481130098023","2506","979","32.86837","-96.858637"
"484391046011","1755","58","32.715944","-97.271636"
"481210215052","1904","262","33.077201","-97.039921"
"480850316641","1678","168","33.075693","-96.775763"
"484391007001","889","0","32.765832","-97.388621"
"481210201092","1638","1155","33.182728","-96.846394"
"480850314192","1895","108","33.125831","-96.590602"
"481130178191","770","1652","32.814013","-96.631026"
"481130093032","2042","128","32.725643","-96.709041"
"481130123021","1923","50","32.809746","-96.680346"
"480850316223","1576","357","33.034665","-96.729611"
"481130141264","2996","2911","32.961298","-97.007097"
"481130189004","1676","3841","32.918339","-96.659409"
"481130211001","2228","93","32.736861","-96.796288"
"484391216152","1066","280","32.754104","-97.135053"
"484391114062","2290","463","32.610029","-97.147809"
"481210201283","3017","139","33.238722","-96.85451"
"481130136311","2097","40","32.940249","-96.80574"
"481130166181","1511","73","32.614932","-96.860119"
"481210217592","1659","328","33.041641","-97.063193"
"480850316271","1409","439","33.03721","-96.739496"
"484391216092","1738","97","32.696118","-97.205038"
"481130190362","1865","552","32.978694","-96.692087"
"481210202042","1557","343","33.395756","-97.217991"
"480850318153","958","137","32.989288","-96.712447"
"484391055152","1811","517","32.640324","-97.405009"
"484391132172","946","45","32.848544","-97.222539"
"483970403052","2083","6125","32.926277","-96.450206"
"481390616004","2216","1353","32.32256","-96.608661"
"480850316353","1668","317","33.065833","-96.700978"
"481130166261","1659","44","32.585172","-96.930575"
"481130141541","1396","21","32.85417","-97.004408"
"484391002011","1763","63","32.798226","-97.328989"
"484391115404","1391","2661","32.671933","-97.109487"
"481130143063","1532","1458","32.844873","-96.989404"
"483671401011","1836","345","32.760439","-97.757033"
"480850308011","1756","276","33.176683","-96.637188"
"480850309031","2037","2060","33.16242","-96.628352"
"481130166311","2667","34","32.595125","-96.899252"
"480850302052","1848","281","33.332662","-96.567837"
"481130064011","2352","10","32.726452","-96.863626"
